id_periodico,titulo_periodico,quantidade_volumes,edicao_mais_recente,url_submissao,url_instrucoes,data_obtencao_informacao
edreal,Educação & Realidade,41 números,"2023, Volume: 48",http://seer.ufrgs.br/educacaoerealidade,https://www.scielo.br/journal/edreal/about/,2024-04-07
edur,Educação em Revista,42 números,"2024, Volume: 40",http://periodicos.ufmg.br/index.php/edrevista,https://www.scielo.br/journal/edur/about/,2024-04-07
ee,Estudos Econômicos (São Paulo),83 números,"2023, Volume: 53, Número: 4",http://www.revistas.usp.br/ee,https://www.scielo.br/journal/ee/about/,2024-04-07
eh,Estudos Históricos (Rio de Janeiro),41 números,"2024, Volume: 37, Número: 81",http://bibliotecadigital.fgv.br/ojs/index.php/reh,https://www.scielo.br/journal/eh/about/,2024-04-07
eins,einstein (São Paulo),45 números,"2024, Volume: 22",https://mc04.manuscriptcentral.com/eins-scielo,https://www.scielo.br/journal/eins/about/,2024-04-07
elbc,Estudos de Literatura Brasileira Contemporânea,37 números,"2024, Número: 71",http://submission.scielo.br/index.php/elbc/login,https://www.scielo.br/journal/elbc/about/,2024-04-07
emquestao,Em Questão,2 números,"2024, Volume: 30",https://seer.ufrgs.br/index.php/EmQuestao/submission/wizard,https://www.scielo.br/journal/emquestao/about/,2024-04-07
ensaio,Ensaio: Avaliação e Políticas Públicas em Educação,78 números,"2024, Volume: 32, Número: 122",https://revistas.cesgranrio.org.br/,https://www.scielo.br/journal/ensaio/about/,2024-04-07
ep,Educação e Pesquisa,66 números,"2024, Volume: 50",http://submission.scielo.br/index.php/ep/login,https://www.scielo.br/journal/ep/about/,2024-04-07
epec,Ensaio Pesquisa em Educação em Ciências (Belo Horizonte),51 números,"2024, Volume: 26",https://periodicos.ufmg.br/index.php/ensaio,https://www.scielo.br/journal/epec/about/,2024-04-07
er,Educar em Revista,83 números,"2023, Volume: 39",http://revistas.ufpr.br/educar,https://www.scielo.br/journal/er/about/,2024-04-07
es,Educação & Sociedade,94 números,"2024, Volume: 45",http://submission.scielo.br/index.php/es/login,https://www.scielo.br/journal/es/about/,2024-04-07
esa,Engenharia Sanitaria e Ambiental,88 números,"2024, Volume: 29",https://mc04.manuscriptcentral.com/esa-scielo,https://www.scielo.br/journal/esa/about/,2024-04-07
estpsi,Estudos de Psicologia (Campinas),86 números,"2024, Volume: 41",https://periodicos.puc-campinas.edu.br/estpsi,https://www.scielo.br/journal/estpsi/about/,2024-04-07
floram,Floresta e Ambiente,74 números,"2024, Volume: 31, Número: 1",http://mc04.manuscriptcentral.com/floram-scielo,https://www.scielo.br/journal/floram/about/,2024-04-07
fm,Fisioterapia em Movimento,39 números,"2024, Volume: 37",http://mc04.manuscriptcentral.com/fm-scielo,https://www.scielo.br/journal/fm/about/,2024-04-07
fp,Fisioterapia e Pesquisa,61 números,"2023, Volume: 30",http://mc04.manuscriptcentral.com/fp-scielo,https://www.scielo.br/journal/fp/about/,2024-04-07
fractal,Fractal: Revista de Psicologia,43 números,"2023, Volume: 35",http://periodicos.uff.br/fractal/index,https://www.scielo.br/journal/fractal/about/,2024-04-07
fun,Filosofia Unisinos,8 números,"2023, Volume: 24, Número: 3",http://revistas.unisinos.br/index.php/filosofia/about/submissions,https://www.scielo.br/journal/fun/about/,2024-04-07
gal,Galáxia (São Paulo),24 números,"2023, Volume: 48",http://revistas.pucsp.br/index.php/galaxia/index,https://www.scielo.br/journal/gal/about/,2024-04-07
geo,GEOUSP,10 números,"2024, Volume: 28, Número: 1",https://www.revistas.usp.br/geousp/about/submissions,https://www.scielo.br/journal/geo/about/,2024-04-07
geop,Geopauta,2 números,"2023, Volume: 7",https://periodicos2.uesb.br/index.php/geo/about/submissions,https://www.scielo.br/journal/geop/about/,2024-04-07
gmb,Genetics and Molecular Biology,102 números,"2024, Volume: 47, Número: 1",http://mc04.manuscriptcentral.com/gmb-scielo,https://www.scielo.br/journal/gmb/about/,2024-04-07
gp,Gestão & Produção,100 números,"2024, Volume: 31",https://mc04.manuscriptcentral.com/gp-scielo,https://www.scielo.br/journal/gp/about/,2024-04-07
gragoata,Gragoatá,6 números,"2024, Volume: 29, Número: 63",https://periodicos.uff.br/gragoata/about/submissions,https://www.scielo.br/journal/gragoata/about/,2024-04-07
ha,Horizontes Antropológicos,65 números,"2024, Volume: 30, Número: 70",http://seer.ufrgs.br/index.php/horizontesantropologicos/index,https://www.scielo.br/journal/ha/about/,2024-04-07
hb,Horticultura Brasileira,96 números,"2024, Volume: 42",http://submission.scielo.br/index.php/hb,https://www.scielo.br/journal/hb/about/,2024-04-07
hcsm,"História, Ciências, Saúde-Manguinhos",104 números,"2023, Volume: 30",http://mc04.manuscriptcentral.com/hcsm-scielo,https://www.scielo.br/journal/hcsm/about/,2024-04-07
heduc,História da Educação,25 números,"2024, Volume: 28",http://seer.ufrgs.br/index.php/asphe/index,https://www.scielo.br/journal/heduc/about/,2024-04-07
hh,História da Historiografia,3 números,"2023, Volume: 16, Número: 41",https://www.historiadahistoriografia.com.br/revista/about/submissions,https://www.scielo.br/journal/hh/about/,2024-04-07
his,História (São Paulo),34 números,"2024, Volume: 43",https://mc04.manuscriptcentral.com/his-scielo,https://www.scielo.br/journal/his/about/,2024-04-07
hoehnea,Hoehnea,57 números,"2024, Volume: 51",http://mc04.manuscriptcentral.com/hoehnea-scielo,https://www.scielo.br/journal/hoehnea/about/,2024-04-07
htct,"Hematology, Transfusion and Cell Therapy",24 números,"2023, Volume: 45, Número: 4",https://www.editorialmanager.com/HTCT/default.aspx,https://www.scielo.br/journal/htct/about/,2024-04-07
iao,International Archives of Otorhinolaryngology,47 números,"2023, Volume: 27, Número: 4",https://mc.manuscriptcentral.com/iaorl,https://www.scielo.br/journal/iao/about/,2024-04-07
ibju,International braz j urol,126 números,"2023, Volume: 49, Número: 6",http://mc04.manuscriptcentral.com/ibju-scielo,https://www.scielo.br/journal/ibju/about/,2024-04-07
icse,"Interface - Comunicação, Saúde, Educação",73 números,"2024, Volume: 28",http://mc04.manuscriptcentral.com/icse-scielo,https://www.scielo.br/journal/icse/about/,2024-04-07
ides,Ilha do Desterro,31 números,"2024, Volume: 77",http://periodicos.ufsc.br/index.php/desterro/index,https://www.scielo.br/journal/ides/about/,2024-04-07
ijcs,International Journal of Cardiovascular Sciences,38 números,"2024, Volume: 37",https://mc04.manuscriptcentral.com/ijcs-scielo,https://www.scielo.br/journal/ijcs/about/,2024-04-07
inter,Interações (Campo Grande),51 números,"2023, Volume: 24, Número: 4",http://www.interacoes.ucdb.br/login,https://www.scielo.br/journal/inter/about/,2024-04-07
interc,Intercom: Revista Brasileira de Ciências da Comunicação,30 números,"2023, Volume: 46",https://revistas.intercom.org.br/index.php/revistaintercom,https://www.scielo.br/journal/interc/about/,2024-04-07
isz,Iheringia. Série Zoologia,66 números,"2023, Volume: 113",http://submission.scielo.br/index.php/isz,https://www.scielo.br/journal/isz/about/,2024-04-07
jaos,Journal of Applied Oral Science,91 números,"2024, Volume: 32",http://mc04.manuscriptcentral.com/jaos-scielo,https://www.scielo.br/journal/jaos/about/,2024-04-07
